한글명,가니쉬,기믹,난이도,베이스.,잔 종류,제작 순서,주문자,주요 재료 (비율),칵테일명
병맥주,없음,뚜껑따기,⭐,맥주,병/맥주잔,4,일반 여자 손님1,"  • Bottled Beer 그대로",Bottled Beer
마티니,올리브,"따르기, 좌우 젓기",⭐⭐,진,칵테일글라스,7,마스터,"• 진 6 oz.
• 드라이 버무스 1.5 oz.",Martini
멜론 사우어,"레몬 슬라이스, 빨대, 체리","따르기, 스퀴즈, 티스푼, 흔들기",⭐⭐⭐,리큐어,롱 샴페인 글라스,11,일반 여자 손님4,"  • Bols Melon 1.50 oz
  • Lemon 0.50 oz
  • Sugar 1 t",Melon Sour
모스코 뮬,"레몬 슬라이스, 진저에일","따르기, 상하 젓기, 스퀴즈",⭐⭐⭐,보드카,롱 드링크 글라스,10,일반 여자 손님3,"  • Smirnoff 1.50 oz 
  • Lime 0.50 oz",Moscow Mule
화이트 와인,없음,따르기,⭐,와인,와인 글라스,8,일반 여자 손님2,"  • House White Wine 8 oz",White Wine
위스키 샷,없음,따르기,⭐,위스키,샷 글라스,2,마스터,"  • Dewar’s 2 oz",Whisky Shot
위스키 락,없음,따르기,⭐,위스키,올드 패션 글라스,9,데즈리,"  • Dewar’s 2 oz",Whisky Rocks
보드카 샷,없음,따르기,⭐,보드카,샷 글라스,1,마스터,"  • Smirnoff 2 oz",Vodka Shot
흑맥주,없음,뚜껑따기,⭐,맥주,병/맥주잔,3,마크 로시,"  • Guiness 그대로",Guiness
병맥주,없음,뚜껑따기,⭐,맥주,병/맥주잔,5,일반 여자 손님1,"  • Bottled Beer 그대로",Bottled Beer
흑맥주,없음,뚜껑따기,⭐,맥주,병/맥주잔,6,세일라,"  • Guiness 그대로",Guiness
