한글명,가니쉬,기믹,난이도,베이스.,잔 종류,제작 순서,주문자,주요 재료 (비율),칵테일명
김렛,없음,"따르기, 스퀴즈, 티스푼, 흔들기",⭐⭐⭐,보드카,칵테일글라스,1,마크 로시,"  • Smirnoff 4.00 oz
  • Lime — 1.00 oz
  • Sugar — 1 tea",Gimlet
진토닉,"레몬 슬라이스, 토닉워터","따르기, 상하 젓기",⭐,진,롱 드링크 글라스,2,일반 여자 손님1,"  • Beefeater — 1.50 oz",Gin Tonic
레드 와인,없음,따르기,⭐,와인,와인 글라스,3,일반 여자 손님2,"  • Guiness 그대로",Red Wine
쿠바 리브레,"라임, 콜라","따르기, 상하 젓기, 스퀴즈",⭐⭐⭐⭐⭐,럼,롱 드링크 글라스,4,일반 여자 손님3,,Cuba Libre
진 샷,없음,따르기,⭐,진,샷 글라스,5,일반 여자 손님4,"  • Beefeater — 2.00 oz",Gin Shot
키르,없음,"따르기, 상하 젓기",⭐⭐,와인,와이드 샴페인 글라스,6,일반 여자 손님5,"  • House White Wine — 7 oz
  • Bols Creme de Cassis — 1 oz",Kir
데킬라 샷,,,⭐,데킬라,,7,일반 여자 손님6,,Tequila Shot
보드카 마티니(깁슨),작은 양파,"따르기, 흔들기",⭐⭐,보드카,칵테일글라스,8,일반 남자 손님1,"  • Smirnoff — 6.0 oz
  • Martini Extra Dry — 1.50oz",Vodka Martini(Gibson)
모히토,"라임, 빨대, 클럽소다","따르기, 상하 젓기, 스퀴즈, 티스푼",⭐⭐⭐⭐,럼,롱 드링크 글라스,9,일반 여자 손님2,"  • Bacardi — 4.00 oz
  • Lime — 3.00 oz
  • Sugar — 2 t",Mojito
키스 오브 파이어,슈가프로스트,"따르기, 스퀴즈, 흔들기",⭐⭐⭐⭐⭐,보드카,칵테일글라스,10,일반 남자 손님2,"  • Smirnoff —  2.00 oz
  • Bols Sloe Gin —  2.00 oz
  • Martini Extra Dry —  2.00 oz
  • Lemon 1.00 oz",Kiss of Fire
브랜디 사우어,"레몬 슬라이스, 사우어믹스, 체리","따르기, 스퀴즈, 티스푼, 흔들기",⭐⭐⭐⭐,브랜디,,11,일반 남자 손님2,"  • Hennessy — 1.50 oz
  • Lemon — 0.50 oz
  • Sugar — 1 t",Brandy Sour
맨하탄,체리,"따르기, 좌우 젓기, 터치하기",⭐⭐⭐,위스키,칵테일글라스,12,특별 남자 손님,"  • Dewar’s — 4.50 oz
  • Martini Rosso — 2.50 oz
  • Bitters — 3 dash",Manhattan
멜론 사우어,"레몬 슬라이스, 빨대, 체리","따르기, 스퀴즈, 티스푼, 흔들기",⭐⭐⭐,리큐어,롱 샴페인 글라스,13,일반 여자 손님7,"- Bols Melon 1.50 oz
- Lemon 0.50 oz
- Sugar 1 t",Melon Sour
진 락,없음,따르기,⭐,진,올드 패션 글라스,14,일반 여자 손님8,"  • Beefeater — 2.00 oz",Gin Rocks
진 피즈,"레몬 슬라이스, 클럽소다","따르기, 스퀴즈, 티스푼, 흔들기",⭐⭐⭐⭐,진,롱 드링크 글라스,15,일반 여자 손님9,"  • Beefeater — 1.50 oz
  • Lemon — 0.50 oz
  • Sugar — 1 t",Gin Fizz
골든 드림,,,⭐⭐⭐⭐⭐,,,16,일반 여자 손님7,,Golden Dream
롭 로이,,,⭐⭐⭐,,,17,일반 여자 손님7,,Rob Roy
